osm_id,voltage,dist_to_vegetation_m,vegetation_risk
35150518,unknown,411.4,0.0
35150671,unknown,0.0,1.0
35413823,unknown,0.0,1.0
35413824,unknown,0.0,1.0
35413825,unknown,0.0,1.0
35419075,unknown,0.0,1.0
35419076,unknown,0.0,1.0
35446795,unknown,0.0,1.0
35449127,unknown,0.0,1.0
35451110,unknown,0.0,1.0
35473818,unknown,0.0,1.0
35481619,unknown,0.0,1.0
35773027,unknown,0.0,1.0
35773030,unknown,297.4,0.009
35773031,unknown,403.6,0.0
35773035,unknown,0.0,1.0
35773039,unknown,0.0,1.0
35773040,unknown,322.9,0.0
35816534,unknown,0.0,1.0
35869744,unknown,0.0,1.0
35870055,unknown,0.0,1.0
35870056,unknown,0.0,1.0
35870057,unknown,16.9,0.916
35870058,unknown,0.0,1.0
35870059,unknown,0.0,1.0
35870060,unknown,0.0,1.0
35922007,unknown,321.5,0.0
35932722,unknown,320.5,0.0
35932723,unknown,0.0,1.0
36106089,unknown,137.1,0.543
36106090,unknown,157.5,0.475
36591066,unknown,0.0,1.0
36902360,unknown,474.3,0.0
36969924,unknown,0.0,1.0
37015375,unknown,39.9,0.8
37015376,unknown,0.0,1.0
37016046,unknown,0.0,1.0
37213788,unknown,0.0,1.0
37273503,unknown,0.0,1.0
37293773,unknown,0.0,1.0
37293774,unknown,0.0,1.0
37294957,unknown,0.0,1.0
37294958,unknown,0.0,1.0
37299540,unknown,0.0,1.0
37346189,unknown,0.0,1.0
37346190,unknown,0.0,1.0
37346191,unknown,0.0,1.0
37346192,unknown,0.0,1.0
37346193,unknown,0.0,1.0
37436338,unknown,0.0,1.0
37547946,unknown,172.9,0.424
37578755,unknown,0.0,1.0
37578756,unknown,368.2,0.0
37578771,unknown,0.0,1.0
37649098,unknown,0.0,1.0
37715609,unknown,0.0,1.0
37715610,unknown,0.0,1.0
37716116,unknown,0.0,1.0
37716117,unknown,292.5,0.025
37743595,unknown,0.0,1.0
37743607,unknown,11.8,0.941
37762758,unknown,0.0,1.0
37767598,unknown,0.0,1.0
37767602,unknown,0.0,1.0
37767603,unknown,0.0,1.0
37767605,unknown,0.0,1.0
37767606,unknown,0.0,1.0
37767607,unknown,0.0,1.0
37767608,unknown,0.0,1.0
37770941,unknown,0.0,1.0
37771296,unknown,0.0,1.0
37785543,unknown,0.0,1.0
37886938,unknown,0.0,1.0
37888339,unknown,0.0,1.0
37888341,unknown,14981.7,0.0
37919238,unknown,0.0,1.0
38115775,unknown,0.0,1.0
38123424,unknown,293.1,0.023
38124326,unknown,289.2,0.036
38124327,unknown,318.5,0.0
38167224,unknown,509.2,0.0
38378929,unknown,0.0,1.0
38388945,unknown,0.0,1.0
38419340,unknown,0.0,1.0
38419355,unknown,0.0,1.0
38419356,unknown,0.0,1.0
38452408,unknown,0.0,1.0
38581151,unknown,0.0,1.0
38772686,unknown,0.0,1.0
38772687,unknown,0.0,1.0
38913394,unknown,0.0,1.0
39006368,unknown,1299.8,0.0
39006369,unknown,1702.7,0.0
39131228,unknown,0.0,1.0
39135617,unknown,0.0,1.0
39140152,unknown,0.0,1.0
39167747,unknown,3859.6,0.0
39188804,unknown,93.0,0.535
39188808,unknown,78.4,0.608
39188809,unknown,0.0,1.0
39198695,unknown,0.0,1.0
39198697,unknown,582.5,0.0
39271826,unknown,0.0,1.0
39274533,unknown,0.0,1.0
39365101,unknown,0.0,1.0
39365102,unknown,0.0,1.0
39365103,unknown,0.0,1.0
39375051,unknown,0.0,1.0
39375052,unknown,0.0,1.0
39375056,unknown,0.0,1.0
39538933,unknown,0.0,1.0
39817026,unknown,0.0,1.0
39817034,unknown,0.0,1.0
39817036,unknown,0.0,1.0
39817048,unknown,0.0,1.0
40222062,unknown,9.2,0.954
40542565,unknown,0.0,1.0
40698788,unknown,0.0,1.0
40795378,unknown,0.0,1.0
40795379,unknown,0.0,1.0
40796174,unknown,0.0,1.0
40796176,unknown,798.4,0.0
40804113,unknown,233.5,0.222
40804115,unknown,0.0,1.0
40811220,unknown,0.0,1.0
41146184,unknown,0.0,1.0
41146198,unknown,0.0,1.0
41154436,unknown,0.0,1.0
41173001,unknown,0.0,1.0
41173002,unknown,0.0,1.0
41201343,unknown,169.0,0.437
41221147,unknown,383.7,0.0
41280038,unknown,0.0,1.0
41280047,unknown,0.0,1.0
41389399,unknown,0.0,1.0
41389402,unknown,0.0,1.0
41416712,unknown,198.4,0.339
41642831,unknown,0.0,1.0
41848211,unknown,88.9,0.556
41892092,unknown,0.0,1.0
41931917,unknown,0.0,1.0
41931918,unknown,0.0,1.0
42049312,unknown,0.0,1.0
42299173,unknown,64.7,0.676
42300838,unknown,0.0,1.0
42336164,unknown,0.0,1.0
42336165,unknown,0.0,1.0
42336166,unknown,182.7,0.391
42336365,unknown,182.7,0.391
42380281,unknown,57014.5,0.0
42678628,unknown,0.0,1.0
43087775,unknown,54221.5,0.0
43134095,unknown,219.1,0.27
43217181,unknown,63777.7,0.0
43400090,unknown,0.0,1.0
43400091,unknown,0.0,1.0
43401820,unknown,0.0,1.0
43918308,unknown,0.0,1.0
43918309,unknown,115.6,0.615
43979254,unknown,9358.2,0.0
44158316,unknown,3.0,0.985
44288739,unknown,285.4,0.049
44288742,unknown,0.0,1.0
44288747,unknown,197.7,0.341
44288748,unknown,202.1,0.326
44288749,unknown,221.7,0.261
44288750,unknown,166.7,0.444
44288751,unknown,342.8,0.0
44288754,unknown,166.8,0.444
44288755,unknown,166.8,0.444
44288990,unknown,443.8,0.0
44308285,unknown,0.0,1.0
44308286,unknown,0.0,1.0
44585114,unknown,59478.7,0.0
44585143,unknown,59195.7,0.0
44818257,unknown,0.0,1.0
45033704,unknown,0.0,1.0
45034405,unknown,0.0,1.0
45064621,unknown,0.0,1.0
45179454,unknown,0.0,1.0
45189131,unknown,0.0,1.0
45285164,unknown,0.0,1.0
45336874,unknown,0.0,1.0
46263810,unknown,79.9,0.6
46672267,unknown,347.6,0.0
46753776,unknown,574.4,0.0
46790385,unknown,0.0,1.0
46934434,unknown,0.0,1.0
47094507,unknown,0.0,1.0
47200337,unknown,215.2,0.283
47215080,unknown,48.7,0.757
47215082,unknown,48.7,0.757
47215547,unknown,0.0,1.0
47215551,unknown,0.0,1.0
47440609,unknown,429.9,0.0
47440610,unknown,0.0,1.0
47512550,unknown,0.0,1.0
47512551,unknown,0.0,1.0
47618898,unknown,0.0,1.0
47680377,unknown,189.6,0.368
47680378,unknown,171.0,0.43
47680379,unknown,163.5,0.455
47799544,unknown,0.0,1.0
47799545,unknown,0.0,1.0
47799546,unknown,0.0,1.0
47799547,unknown,0.0,1.0
47799548,unknown,0.0,1.0
47799549,unknown,0.0,1.0
47800066,unknown,0.0,1.0
47800067,unknown,93.6,0.532
47800068,unknown,93.6,0.532
47800666,unknown,292.5,0.025
47845726,unknown,0.0,1.0
47895576,unknown,0.0,1.0
48011217,unknown,0.0,1.0
48011220,unknown,0.0,1.0
48066660,unknown,0.0,1.0
48359997,unknown,4.5,0.978
48416830,unknown,0.0,1.0
48416831,unknown,0.0,1.0
48416832,unknown,0.0,1.0
48442852,unknown,0.0,1.0
48460742,unknown,264.8,0.117
48460743,unknown,282.4,0.059
48616848,unknown,1651.4,0.0
48812306,unknown,54161.4,0.0
48903696,unknown,18972.0,0.0
48906237,unknown,235.3,0.216
48906238,unknown,539.8,0.0
48907286,unknown,0.0,1.0
48959052,unknown,0.0,1.0
49162883,unknown,0.0,1.0
49532358,unknown,2775.2,0.0
49809951,unknown,0.0,1.0
49868531,unknown,0.0,1.0
49869221,unknown,195.3,0.349
49869222,unknown,228.7,0.238
50236256,unknown,0.0,1.0
50280472,unknown,0.0,1.0
50280477,unknown,0.0,1.0
50885127,unknown,0.0,1.0
51035642,unknown,0.0,1.0
51035643,unknown,0.0,1.0
51036042,unknown,0.0,1.0
51231253,unknown,0.0,1.0
51231254,unknown,0.0,1.0
51231257,unknown,0.0,1.0
51231263,unknown,83.4,0.583
51241106,unknown,0.0,1.0
51241110,unknown,0.0,1.0
51241115,unknown,0.0,1.0
51241121,unknown,0.0,1.0
51241955,unknown,0.0,1.0
51245078,unknown,0.0,1.0
51275703,unknown,0.0,1.0
51355730,unknown,0.0,1.0
51362481,unknown,0.0,1.0
51362482,unknown,0.0,1.0
51362486,unknown,415.5,0.0
51362487,unknown,358.7,0.0
51362488,unknown,403.7,0.0
51431074,unknown,0.0,1.0
51431075,unknown,29.5,0.853
52041113,unknown,0.0,1.0
52101465,unknown,0.0,1.0
52124782,unknown,158.2,0.473
52124783,unknown,0.0,1.0
52124784,unknown,129.5,0.568
52127427,unknown,0.0,1.0
52252200,unknown,0.0,1.0
52281743,unknown,248.4,0.172
52833989,unknown,25.2,0.874
52834992,unknown,95.6,0.522
52834993,unknown,94.4,0.528
53024612,unknown,0.0,1.0
53024979,unknown,0.0,1.0
53024982,unknown,0.0,1.0
53024985,unknown,1.2,0.994
53247381,unknown,0.0,1.0
53305806,unknown,0.0,1.0
53305807,unknown,0.0,1.0
53305813,unknown,0.0,1.0
53308212,unknown,0.0,1.0
53308213,unknown,0.0,1.0
53308214,unknown,0.0,1.0
53308216,unknown,0.0,1.0
53371470,unknown,0.0,1.0
53371473,unknown,0.0,1.0
53371489,unknown,0.0,1.0
53768364,unknown,207.0,0.31
53772558,unknown,0.0,1.0
53820100,unknown,1.2,0.994
53820101,unknown,1.2,0.994
54061702,unknown,23.9,0.881
54108498,unknown,0.0,1.0
54264146,unknown,0.0,1.0
54442593,unknown,0.0,1.0
54442595,unknown,0.0,1.0
54442596,unknown,0.0,1.0
54442597,unknown,0.0,1.0
54966468,unknown,255.8,0.147
55019937,unknown,305.0,0.0
55019938,unknown,333.9,0.0
55019939,unknown,339.2,0.0
55019940,unknown,301.1,0.0
55080932,unknown,55951.8,0.0
55641285,unknown,0.0,1.0
