cell_id,lon,lat,cloud
271,10.050439823040136,49.552489913835345,0.6727
272,10.057200302824258,49.59259897845251,0.6727
273,10.057253368304988,49.63756194797192,0.6738
274,10.057306557572884,49.68252424104538,0.6738
275,10.057359871042545,49.727485864704185,0.6738
276,10.057413309130522,49.77244682597971,0.6738
277,10.057466872255253,49.81740713190353,0.6738
278,10.057520560837066,49.86236678950715,0.6738
279,10.05757437529826,49.90732580582228,0.6824
280,10.057628316062967,49.95228418788072,0.6824
281,10.05768238355735,49.9972419427144,0.6824
282,10.057736578209528,50.04219907735536,0.6824
283,10.05779090044953,50.08715559883568,0.6824
284,10.057845350709394,50.132111514187805,0.7015
285,10.057899929423122,50.17706683044419,0.7015
286,10.057954637026738,50.22202155463751,0.7015
287,10.058009473958304,50.26697569380049,0.7015
288,10.058064440657825,50.31192925496624,0.7015
289,10.05811953756742,50.356882245167974,0.7015
290,10.058174765131238,50.40183467143907,0.7355
291,10.058230123795424,50.44678654081317,0.7355
292,10.060754582198562,50.49068670977123,0.7355
293,10.07442046625413,50.52949000355242,0.7355
294,10.09328331563434,50.55943084617568,0.7355
295,10.101498541894788,47.36514377353792,0.7084
296,10.121425891246492,47.39150769067725,0.6848
297,10.123865247257283,47.43269373248796,0.6848
298,10.12115578881876,47.47841340305247,0.6848
299,10.121233465401534,47.5233959937991,0.6848
300,10.121339021963523,47.568397627663956,0.6848
301,10.121444813949232,47.613398261430454,0.6848
302,10.12383909333438,47.65697492919196,0.6812
303,10.139802963956418,47.70268762099237,0.6875
304,10.137143544679772,47.748045727555855,0.6875
305,10.123959783694984,47.79445282359925,0.6812
306,10.133800444069545,47.83986892582005,0.6875
307,10.128541395789876,47.88315889609658,0.669
308,10.13008133617599,47.92884672566134,0.669
309,10.126511235271828,47.97103963993658,0.669
310,10.139182993368967,48.01703220891168,0.669
311,10.145861612808652,48.061616454590855,0.669
312,10.143584222831748,48.11192780001225,0.669
313,10.126279794541924,48.15466225148875,0.6695
314,10.122841877675068,48.198318693224024,0.666
315,10.122951045524166,48.24330606444066,0.666
316,10.123060460349915,48.28829254109346,0.666
317,10.123170122949752,48.33327813021579,0.666
318,10.123280034124614,48.37826283884077,0.6672
319,10.123390194679004,48.423246674001405,0.6672
320,10.120536513545304,48.46137013951741,0.6672
321,10.145340159390578,49.19991521718414,0.6849
322,10.135610058191869,49.23371448435386,0.6849
323,10.141933232155164,49.270613188387095,0.6849
324,10.13828601727788,49.32653516996927,0.6849
325,10.13035702358232,49.36666064910133,0.6849
326,10.149104873671051,49.41769447936458,0.6702
327,10.130542266580566,49.45875206628853,0.6702
328,10.133170769283488,49.50271716695429,0.6702
329,10.127100431953703,49.5480401078597,0.6702
330,10.12634462351491,49.592542838392674,0.6702
331,10.12646183486518,49.63750574794646,0.6748
332,10.126579319636496,49.68246798090982,0.6748
333,10.12669707874483,49.72742954431358,0.6748
334,10.126815113110071,49.772390445188634,0.6748
335,10.12693342365654,49.81735069056603,0.6748
336,10.12705201131264,49.86231028747681,0.6748
337,10.127170877011084,49.90726924295215,0.685
338,10.127290021688802,49.952227564023374,0.685
339,10.127409446287066,49.99718525772193,0.685
340,10.12752915175143,50.04214233107926,0.685
341,10.12764913903179,50.08709879112704,0.685
342,10.127769409082395,50.13205464489716,0.6966
343,10.12788996286196,50.17700989942157,0.6966
344,10.128010801333508,50.22196456173237,0.6966
345,10.128131925464617,50.2669186388619,0.6966
346,10.128253336227187,50.31187213784267,0.6966
347,10.128375034597706,50.35682506570731,0.6966
348,10.128497021557257,50.40177742948877,0.7268
349,10.128619298091245,50.446729236220165,0.7268
350,10.128741865189893,50.491680492934734,0.7268
351,10.12721207383533,50.534571152509415,0.7268
352,10.105375149494613,50.5622112922048,0.7355
353,10.199470899359891,47.293023173051175,0.701
354,10.21251118259879,47.336295807667355,0.701
355,10.183584062441607,47.39805346671555,0.697
356,10.187254888200563,47.43329602494646,0.697
357,10.18741748670585,47.478299586198474,0.697
358,10.187580447175057,47.52330213305885,0.697
359,10.187743770754002,47.56830367256554,0.697
360,10.187907458593518,47.61330421175618,0.697
